meanOpts,sdOpts,rmse,coverage,mape
0.5,0.5,0.10516527382951009,0.9568965517241379,0.06692940414202413
0.5,1,0.1058892149530141,0.9568965517241379,0.06728616525299316
0.5,1.5,0.10679236032539069,0.9568965517241379,0.06767653722946589
0.5,2,0.10743231619179915,0.9568965517241379,0.06799130026623663
0.5,2.5,0.1077689833001777,0.9568965517241379,0.06826556117209635
0.5,3,0.10793425422277371,0.9568965517241379,0.06850679883581146
0.5,3.5,0.1080513693694401,0.9568965517241379,0.0686880316399901
0.5,4,0.10807352512622354,0.9568965517241379,0.06876833167031206
0.5,4.5,0.10813505924895078,0.9568965517241379,0.0688224624939719
0.5,5,0.1081078300189482,0.9568965517241379,0.06881964005281056
0.5,5.5,0.10811361889871964,0.9568965517241379,0.06878665002378699
0.5,6,0.10810910263882215,0.9568965517241379,0.06875040978320736
0.5,6.5,0.10809852604783883,0.9568965517241379,0.06872171106972752
0.5,7,0.10811134499226699,0.9568965517241379,0.0686804442070624
0.5,7.5,0.10803247347419616,0.9568965517241379,0.06856635086813517
0.5,8,0.10797331929169082,0.9568965517241379,0.06848636023849662
0.5,8.5,0.10802135913383394,0.9568965517241379,0.06848998529377993
0.5,9,0.10795047319041132,0.9568965517241379,0.06840786997723164
0.5,9.5,0.10796644721724362,0.9568965517241379,0.06837778952896581
0.5,10,0.10792205037073507,0.9568965517241379,0.06832318888513271
1,0.5,0.09542934968389814,0.9565217391304348,0.06541003378733089
1,1,0.09583879420404892,0.9565217391304348,0.06567354368382493
1,1.5,0.09662560303189399,0.9565217391304348,0.06605174340245239
1,2,0.09753716276970424,0.9565217391304348,0.06635024420393569
1,2.5,0.10680952445934201,0.9568965517241379,0.06865413954255348
1,3,0.10745719681206846,0.9568965517241379,0.06890904831016423
1,3.5,0.10787789754683172,0.9568965517241379,0.0691472386776129
1,4,0.1081168961014637,0.9568965517241379,0.06937206571273646
1,4.5,0.10831641518508622,0.9568965517241379,0.06955304276281676
1,5,0.1083394924540227,0.9568965517241379,0.0696055492893925
1,5.5,0.10843523407170848,0.9568965517241379,0.06971355012814599
1,6,0.10850395298376547,0.9568965517241379,0.06978157270763012
1,6.5,0.10849676290677894,0.9568965517241379,0.06976908875274336
1,7,0.10851269188999822,0.9568965517241379,0.06977284109865431
1,7.5,0.10852844631057111,0.9568965517241379,0.06976937048134826
1,8,0.10851013866731764,0.9568965517241379,0.06969505811065958
1,8.5,0.10846843877162236,0.9568965517241379,0.06961945238020462
1,9,0.1084633256051444,0.9568965517241379,0.0695843056629188
1,9.5,0.10844637941107692,0.9568965517241379,0.06950161257724288
1,10,0.10843252836808064,0.9568965517241379,0.06943094068255831
1.5,0.5,0.0942248961359844,0.9565217391304348,0.06657945119881785
1.5,1,0.09467290499569946,0.9565217391304348,0.06681283663178707
1.5,1.5,0.09551982119537832,0.9565217391304348,0.0671543082683158
1.5,2,0.09654464421790059,0.9565217391304348,0.06751619567811357
1.5,2.5,0.09755325874702092,0.9565217391304348,0.0677878066327167
1.5,3,0.09830523228998078,0.9565217391304348,0.06794634764110444
1.5,3.5,0.09887576603767344,0.9565217391304348,0.0680237928601282
1.5,4,0.09927731198173441,0.9565217391304348,0.06823840868931197
1.5,4.5,0.10818312936010376,0.9568965517241379,0.07033253833236398
1.5,5,0.10844393787094889,0.9568965517241379,0.07057037813600164
1.5,5.5,0.10860171092643298,0.9568965517241379,0.07064685472111086
1.5,6,0.10870664768705338,0.9568965517241379,0.07076865972288922
1.5,6.5,0.10880161037644998,0.9568965517241379,0.07079617835883859
1.5,7,0.10886185048463355,0.9568965517241379,0.07079600405345457
1.5,7.5,0.1089547290422809,0.9568965517241379,0.07081622709545422
1.5,8,0.10887091648313131,0.9568965517241379,0.0707463922408401
1.5,8.5,0.10893799690798912,0.9568965517241379,0.07073574378368762
1.5,9,0.10894253328137361,0.9568965517241379,0.07072349830222521
1.5,9.5,0.10894777499407848,0.9568965517241379,0.07062672339723851
1.5,10,0.10887771172409091,0.9568965517241379,0.0705571319257575
2,0.5,0.08982002154326464,0.9473684210526315,0.06786125057792176
2,1,0.09015573314405653,0.9473684210526315,0.06813217445031794
2,1.5,0.09072229743383683,0.9473684210526315,0.06845072674641296
2,2,0.09150290984795152,0.9473684210526315,0.06883272637068194
