meanOpts,sdOpts,rmse_cc,coverage_cc,mape_cc,rmse_h,coverage_h,mape_h
0.5,0.5,0.17503428475210786,0.5303030303030303,0.1141401149256753,NA,NA,NA
0.5,1,0.1764653276464055,0.5303030303030303,0.11502358158464583,NA,NA,NA
0.5,1.5,0.17823601908034356,0.5303030303030303,0.11591752131943793,NA,NA,NA
0.5,2,0.17943167111249764,0.5378787878787878,0.11648568158937535,NA,NA,NA
0.5,2.5,0.18010810831205726,0.5378787878787878,0.11682315680620092,NA,NA,NA
0.5,3,0.1804990228338345,0.5378787878787878,0.11702294120605437,NA,NA,NA
0.5,3.5,0.18074118842840337,0.5378787878787878,0.11715445635989856,NA,NA,NA
0.5,4,0.18088389520305345,0.5378787878787878,0.11723583017953426,NA,NA,NA
0.5,4.5,0.18099642044141803,0.5303030303030303,0.11730010076611509,NA,NA,NA
0.5,5,0.18106128250589046,0.5303030303030303,0.11734232117215983,NA,NA,NA
0.5,5.5,0.18111409723654262,0.5303030303030303,0.1173821456301472,NA,NA,NA
0.5,6,0.1811505266169756,0.5303030303030303,0.11741278104043112,NA,NA,NA
0.5,6.5,0.181174636249348,0.5303030303030303,0.1174371379081183,NA,NA,NA
0.5,7,0.18120021135290618,0.5303030303030303,0.1174583901711117,NA,NA,NA
0.5,7.5,0.1812146879000101,0.5303030303030303,0.11747503506773384,NA,NA,NA
0.5,8,0.18123807634254205,0.5303030303030303,0.11749039303598632,NA,NA,NA
0.5,8.5,0.1812442530064751,0.5303030303030303,0.11750355254011649,NA,NA,NA
0.5,9,0.18125430341545345,0.5303030303030303,0.11751436410800989,NA,NA,NA
0.5,9.5,0.18126073602968856,0.5303030303030303,0.11752107543859215,NA,NA,NA
0.5,10,0.1812675235766639,0.5303030303030303,0.11752953776788985,NA,NA,NA
1,0.5,0.1647463638719476,0.5267175572519084,0.10885452203258762,NA,NA,NA
1,1,0.16820176315901325,0.5267175572519084,0.11090404325075043,NA,NA,NA
1,1.5,0.1713646486835928,0.5227272727272727,0.1121505268538725,NA,NA,NA
1,2,0.1742523614707385,0.5303030303030303,0.11368798407275191,NA,NA,NA
1,2.5,0.1763416311096599,0.5378787878787878,0.1147388120009653,NA,NA,NA
1,3,0.17776485056512276,0.5378787878787878,0.11544797534311342,NA,NA,NA
1,3.5,0.17871284716089114,0.5378787878787878,0.11592071572629498,NA,NA,NA
1,4,0.17935806621271977,0.5378787878787878,0.11624557141780979,NA,NA,NA
1,4.5,0.17979772190875545,0.5378787878787878,0.11646558817174153,NA,NA,NA
1,5,0.1801283321549915,0.5454545454545454,0.11664638959748388,NA,NA,NA
1,5.5,0.18035148528132156,0.5454545454545454,0.11679115627679927,NA,NA,NA
1,6,0.18052795475011868,0.5378787878787878,0.11690535640563283,NA,NA,NA
1,6.5,0.18066351723809618,0.5378787878787878,0.11699404867041598,NA,NA,NA
1,7,0.18075705852065097,0.5378787878787878,0.1170642538328926,NA,NA,NA
1,7.5,0.18083688570070572,0.5378787878787878,0.11712229688516214,NA,NA,NA
1,8,0.18090455462127486,0.5378787878787878,0.11717202713554498,NA,NA,NA
1,8.5,0.18096865495771533,0.5378787878787878,0.11721326584014607,NA,NA,NA
1,9,0.1810078793710862,0.5303030303030303,0.11724781733473484,NA,NA,NA
1,9.5,0.1810372168689839,0.5303030303030303,0.11727560151374006,NA,NA,NA
1,10,0.181066448155592,0.5303030303030303,0.11730254037959417,NA,NA,NA
1.5,0.5,0.15605496184011858,0.5190839694656488,0.10399879127556244,NA,NA,NA
1.5,1,0.15819014409824345,0.5343511450381679,0.1052056370087687,NA,NA,NA
1.5,1.5,0.1621516425478723,0.5343511450381679,0.10749282620431873,NA,NA,NA
1.5,2,0.16593943081056778,0.5419847328244275,0.10962324143521517,NA,NA,NA
